year,pm,party,title,footnote,source,url
1982,Indira Gandhi,INC,Let us all Build a Strong Nation,"Free rendering of an address in Hindi from the Red Fort, Delhi, August 15, 1982","Selected Speeches of Indira Gandhi: January 1, 1982-October 30, 1984",
1981,Indira Gandhi,INC,"Call for Unity, Discipline and Hard Work","Free rendering of the Independence Day speech delivered in Hindi from the Red Fort, Delhi, August 15, 1981",Selected Speeches of Indira Gandhi: January 1980-December 1981,
1980,Indira Gandhi,INC,At a Turning Point,"Free rendering of the Independence Day speech delivered in Hindi from the Red Delhi, August 15, 1980",Selected Speeches of Indira Gandhi: January 1980-December 1981,
1979,Charan Singh,Janata Party,Pledge to go ahead,"Independence Day speech from the ramparts of the Red Fort, New Delhi, 15 August 1979","Charan Singh, selected speeches, July 1979-December 1979",
1978,Morarji Desai,Janata Party,A New Revolution,,"Prime Ministers of India's Independence Day and Other Speeches (Pt. Jawaharlal Nehru to Dr. Manmohan Sing), Vol 1. Edited by K.V. Singh. Vista International Publishing House, Delhi, India",
1977,Morarji Desai,Janata Party,A New Revolution,,"Prime Ministers of India's Independence Day and Other Speeches (Pt. Jawaharlal Nehru to Dr. Manmohan Sing), Vol 1. Edited by K.V. Singh. Vista International Publishing House, Delhi, India",
1976,Indira Gandhi,INC,"With Discipline, a Better Life","Free rendering of the speech delivered in Hindi from the ramparts of the Red Fort, New Delhi, on August 15, 1976",Selected Speeches of Indira Gandhi: September 1972-March 1977,
1975,Indira Gandhi,INC,Eradication of Poverty,"Free rendering of an address in Hindi from the Red Fort, Delhi, August 15, 1975",Selected Speeches of Indira Gandhi: September 1972-March 1977,
1974,Indira Gandhi,INC,Towards the Bright Future,"Free rendering of an address in Hindi from the Red Fort, Delhi, August 15, 1974",Selected Speeches of Indira Gandhi: September 1972-March 1977,
1973,Indira Gandhi,INC,Spirit of Determination,"Free rendering of speech in Hindi, Red Fort, Delhi, August 15, 1973",Selected Speeches of Indira Gandhi: September 1972-March 1977,
1972,Indira Gandhi,INC,Fight Against Poverty,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, August 15, 1972","The years of endeavour: selected speeches of Indira Gandhi, August 1969-August 1972",
1971,Indira Gandhi,INC,Need for Unity,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, August 1971","The years of endeavour: selected speeches of Indira Gandhi, August 1969-August 1972",
1970,Indira Gandhi,INC,A New Awakening,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, August 15, 1970","The years of endeavour: selected speeches of Indira Gandhi, August 1969-August 1972",
1969,Indira Gandhi,INC,New Horizons,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, Independence Day, August 15, 1969","The years of endeavour: selected speeches of Indira Gandhi, August 1969-August 1972",
1968,Indira Gandhi,INC,Need for a National Perspective,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, Independence Day, August 15, 1968","The years of challenge: Selected speeches of Indira Gandhi, January 1966-August 1969",
1967,Indira Gandhi,INC,Towards a Better Life,"Free translation of speech in Hindi from the ramparts of Red Fort, Delhi, Independence Day, August 15, 1967","The years of challenge: Selected speeches of Indira Gandhi, January 1966-August 1969",
1966,Indira Gandhi,INC,A New Revolution,"Free translation of speech in Hindi from Day, August 15, 1966","The years of challenge: Selected speeches of Indira Gandhi, January 1966-August 1969",
1965,L.B. Shastri,INC,Invasion Will Be Repulsed,"From the speech at Red Fort on August 15, 1965","Selected speeches of Lal Bahadur Shastri, June 11, 1964 to January 10, 1966",
1964,L.B. Shastri,INC,Building a Strong Country,"Speech from the Red Fort on August 15, 1964","Selected speeches of Lal Bahadur Shastri, June 11, 1964 to January 10, 1966",
1963,Jawaharlal Nehru,INC,The Sixteenth Year,"English rendering of the Independence Day address, delivered in Hindi, Delhi, August 15, 1963","Jawaharlal Nehru, Selected Speeches, Volume 5 (1963-1964)",
1962,Jawaharlal Nehru,INC,,,,
1961,Jawaharlal Nehru,INC,Independence Day Address,"Speech, 15 August 1961, in Delhi, at the Red Fort, NMML, AIR Tapes, TS No. 7146, NM No. 1460.","Selected works of Jawaharlal Nehru. Second Series. Vol 70, (1 July - 20 August 1961)",
1960,Jawaharlal Nehru,INC,In New Delhi: Independence Day Speech,"Speech at the Red Fort, 15 August 1960. AIR Tapes, NMML.","Selected works of Jawaharlal Nehru. Second Series. Vol 62, (1 August - 31 August 1960)",
1959,Jawaharlal Nehru,INC,Striving for Progress,"Independence day speech at the Red Fort, New Delhi. 15 August 1959. AIR Tapes, NMML.","Selected works of Jawaharlal Nehru. Second Series. Vol 51, (1 - 31 August 1959)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-51#page/26/mode/2up
1958,Jawaharlal Nehru,INC,Call to Consolidate Freedom,"Speech on Independence Day from the Red Fort, New Delhi, 15 August 1958 AIR tapes, NMML. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 43, (1 July - 31 August 1958)",http://nehruportal.nic.in/selected-works-jawaharlal-nehru-second-series-volume-43#page/82/mode/2up
1957,Jawaharlal Nehru,INC,Economic Freedom is the Next Step,"Speech from the ramparts of the Red Fort after unfurling the National Flag on the Tenth Anniversary of Independence, Delhi, 15 August 1957. From The Hindu and The Hindustan Times, 16 August 1957.","Selected works of Jawaharlal Nehru. Second Series. Vol 39, (1 August - 31 October 1957)",http://nehruportal.nic.in/selected-works-jawaharlal-nehru-second-series-volume-39#page/46/mode/2up
1956,Jawaharlal Nehru,INC,Renewing the Pledge,"Independence day speech from the Red Fort, New Delhi. 15 August 1956. AIR Tapes, NMML. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 34, (21 June - 31 August 1956)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-34#page/1/mode/1up
1955,Jawaharlal Nehru,INC,Decisions through Peaceful Means,"Speech at the Red Fort, Delhi, 15 August 1955, AIR tapes, NMML. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 29, (1 June 1955 - 31 August 1955)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-29#page/74/mode/2up
1954,Jawaharlal Nehru,INC,The Meaning of Freedom,"Speech at a public meeting on Independence Day, Red Fort, New Delhi, 15 August 1954. MPCC Papers, NMML. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 26, (1 June 1954 - 30 September 1954)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-26#page/132/mode/2up
1953,Jawaharlal Nehru,INC,India Faces Tremendous Tasks,"Speech delivered at Red Fort, Delhi, on the occasion of Independence Day, 15 August 1953, AIR tapes, NMML. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 23, (1 July 1953 - 30 September 1953)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-23#page/102/mode/2up
1952,Jawaharlal Nehru,INC,Five Years of Freedom,"Speech from the ramparts of the Red Fort, Delhi, 15 August 1952. AIR tapes, NMML. (Original in Hindi)","Selected works of Jawaharlal Nehru. Second Series. Vol 19, (16 July 1952 - 18 October 1952)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-19#page/40/mode/2up
1951,Jawaharlal Nehru,INC,For a Concerted Effort to End Poverty,"Speech from the ramparts of the Red Fort, New Delhi, on Independence Day, 15 August From National Herald, 17 August 1951.","Selected works of Jawaharlal Nehru. Second Series. Vol 16: Part II, (1 July 1951 - 31 October 1951)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-16-part-ii#page/460/mode/2up
1950,Jawaharlal Nehru,INC,Unity and Equality,"Speech from the Red Fort, Delhi, on Independence Day, 15 August 1950, AIR tapes, N.M.M.L. Original in Hindi.","Selected works of Jawaharlal Nehru. Second Series. Vol 15, Part 1 (1 August - 25 October 1950)",http://nehruportal.nic.in/selected-works-jawahar-lal-nehru-second-series-15-part-i#page/34/mode/2up
1949,Jawaharlal Nehru,INC,Two Years of Independence,"Translated from speech in Hindi delivered at the Red Fort Delhi, August 15, 1949","Jawaharlal Nehru's Speeches, Volume 2",
1948,Jawaharlal Nehru,INC,The Task Ahead,"Broadcast from New Delhi, August 15, 1948","Jawaharlal Nehru's Speeches, Volume 1",
1947,Jawaharlal Nehru,INC,First Servant of the Indian People,"Broadcast from New Delhi, August 15, 1947","Jawaharlal Nehru's Speeches, Volume 1",
